,lat,lng,Category
843,41.3917169,2.1592614,2
844,41.392095,2.158493,2
845,41.3938632,2.1568039,2
846,51.4997486,-0.1615242,1
847,48.191373,16.4082294,4
848,51.5294411,-0.1233745,1
849,52.3677568,4.8682174,3
850,41.3893478,2.1209755,2
851,41.3865289,2.1682919,2
852,41.3858891,2.1681652,2
853,41.386136,2.1682914,2
854,41.4337561,2.147327,2
855,51.5179659,-0.1234343,1
856,48.2216779,16.3567111,4
857,51.5144418,-0.146432,1
858,41.3812223,2.1739622,2
859,41.3846844,2.1791065,2
860,48.2035677,16.356445,4
861,51.4689559,-0.1787256,1
862,51.5144004,-0.1565506,1
863,51.498861,-0.1374897,1
864,48.204576,16.3563661,4
865,41.3986093,2.1625037,2
866,41.3944574,2.1564353,2
867,51.4973568,-0.1576728,1
868,41.3802469,2.1541149,2
869,41.37913,2.1561186,2
870,41.3283758,2.1129638,2
871,41.3948175,2.1434702,2
872,41.384829,2.1751277,2
873,41.3904305,2.1262314,2
874,51.5222472,-0.1426128,1
875,41.3777977,2.1135971,2
876,51.5291423,-0.1372782,1
877,51.5101556,-0.1496314,1
878,41.3929366,2.1653954,2
879,41.4253332,2.1211028,2
880,41.3961021,2.1794688,2
881,51.474469,-0.019428,1
882,52.3696719,4.8614475,3
883,51.4756558,-0.1813888,1
884,48.2058584,16.3766545,4
885,41.3859873,2.1514021,2
886,41.3895237,2.1490307,2
887,41.4006653,2.1787089,2
